trade_date,open,high,low,close,vol
20190906,35.9,35.99,35.55,35.89,473162.76
20190905,35.03,35.9,35.03,35.52,723702.46
20190904,34.11,35.06,34.01,34.89,634636.16
20190903,34.37,34.46,34.01,34.15,407169.69
20190902,34.28,34.66,34.25,34.34,507982.81
20190830,34.29,34.39,33.95,34.28,596579.69
20190829,34.5,34.55,33.7,33.93,711617.85
20190828,35.0,35.08,34.41,34.5,514762.26
20190827,35.38,35.62,34.75,34.75,817511.79
20190826,35.5,35.8,34.77,35.0,867362.65
