trade_date,close,actual_close,change,pct_chg,vol,amount
20191213,208.6818,86.77,6.565600000000018,3.2484,774732.9,6646262.465
20191212,202.1162,84.04,0.0,0.0,366466.47,3086211.341
20191211,202.1162,84.04,1.0822000000000003,0.5383,367933.22,3082011.941
20191210,201.034,83.59,-0.1442000000000121,-0.0717,295540.57,2467176.771
20191209,201.1782,83.65,-2.6214999999999975,-1.2863,460460.4,3862862.587
20191206,203.7997,84.74,0.16839999999999122,0.0827,272110.03,2301323.965
20191205,203.6313,84.67,1.443000000000012,0.7137,342534.68,2897557.384
20191204,202.1883,84.07,-0.48099999999999454,-0.2373,262024.47,2197127.278
20191203,202.6693,84.27,2.3567999999999927,1.1766,394270.24,3297499.81
20191202,200.3125,83.29,-0.7935999999999979,-0.3946,386007.56,3225038.202
20191129,201.1061,83.62,-1.8759000000000015,-0.9242,570944.15,4773939.408
20191128,202.982,84.4,-1.2264999999999873,-0.6006,358095.13,3029939.624
20191127,204.2085,84.91,-1.1785000000000139,-0.5738,394256.92,3344756.236
20191126,205.387,85.4,-0.24049999999999727,-0.117,509282.55,4348204.545
20191125,205.6275,85.5,1.4670999999999879,0.7186,546527.22,4642913.865
20191122,204.1604,84.89,-3.4872999999999763,-1.6794,747463.83,6400035.302
20191121,207.6477,86.34,-4.112500000000011,-1.9421,757381.64,6568187.721
20191120,211.7602,88.05,-2.0201999999999884,-0.945,332290.9,2931878.778
20191119,213.7804,88.89,0.4328999999999894,0.2029,302021.26,2680997.207
20191118,213.3475,88.71,1.9480000000000075,0.9215,344810.63,3049046.341
20191115,211.3995,87.9,-0.3126000000000033,-0.1477,364026.86,3201969.893
20191114,211.7121,88.03,0.07210000000000605,0.0341,323509.97,2851209.745
20191113,211.64,88.0,-0.5290999999999997,-0.2494,380871.62,3347570.705
20191112,212.1691,88.22,0.024099999999975807,0.0114,395453.62,3484083.834
20191111,212.145,88.21,-2.308799999999991,-1.0766,442562.17,3907738.378
20191108,214.4538,89.17,-1.443000000000012,-0.6684,436274.87,3913709.229
20191107,215.8968,89.77,-0.5531999999999755,-0.2556,319831.02,2868909.39
20191106,216.45,90.0,-0.14430000000001542,-0.0666,386305.41,3474136.442
20191105,216.5943,90.06,-0.5531000000000006,-0.2547,654849.54,5916481.105
20191104,217.1474,90.29,0.6012000000000057,0.2776,505705.67,4563537.529
20191101,216.5462,90.04,4.61760000000001,2.1788,650940.33,5816594.688
20191031,211.9286,88.12,0.4088999999999885,0.1933,373687.66,3300159.121
20191030,211.5197,87.95,-0.601300000000009,-0.2835,436516.63,3841077.9
20191029,212.121,88.2,-1.0581999999999994,-0.4964,431557.69,3820534.875
20191028,213.1792,88.64,1.5392000000000223,0.7273,651031.68,5752480.357
